hotel,county,description,expiry,offer_url,image_url,province,currency,min_price,expiry_date
osprey hotel & spa retreat,kildare,"Rory’s Summer Retreat: B&B, Welcome Drink, Main Course & Leisure Access
2 Sharing: Midweek €165 | Fridays & Saturdays €179
Family: Midweek €232 | Fridays & Saturdays €242","August 31, 2026",https://rorystravelclub.com/pages/ospreyhotelandsparorysummerretreat,https://rorystravelclub.com/cdn/shop/files/Osprey5.png?v=1711453783&width=600,Leinster,€,165.0,
osprey hotel & spa retreat,kildare,"Rory's Stay, Dine and Pamper
B&B, Welcome Drink, Main Course, 25 Min Spa Treatment & Leisure Access
Midweek: 2 Sharing from €290 | 3 Sharing from €390
Friday: 2 Sharing from €310","August 31, 2026",https://rorystravelclub.com/pages/ospreyhotelandsparorystaydinepamper,https://rorystravelclub.com/cdn/shop/files/Osprey5.png?v=1711453783&width=600,Leinster,€,290.0,
glashaus hotel,dublin,15% OFF Room Only and B&B Rates,"May 05, 2027",https://rorystravelclub.com/pages/glashaushotel,https://rorystravelclub.com/cdn/shop/files/glashaus_hotel_13_1.jpg?v=1778232064&width=600,Leinster,,,
plaza hotel tallaght,dublin,"1 Night Package, 2 Night Package & Family Getaway Package
From €189","September 30, 2026",https://rorystravelclub.com/pages/landingpageplazahoteltallaght,https://rorystravelclub.com/cdn/shop/files/606f4ba4-7ea7-4e7c-9bd0-7a7e5ecad428.avif?v=1777375031&width=600,Leinster,€,189.0,
ashdown park hotel,wexford,"B&B, 2 Course Meal, Access to Leisure Facilities & Spa Credit
2 Sharing: Midweek from €149 | Weekends from €189
Solo: Midweek from €119 | Weekends from €145","August 31, 2026",https://rorystravelclub.com/pages/ashdownparkhotelsummer26,https://rorystravelclub.com/cdn/shop/files/hotels1_61.jpg?v=1777374863&width=600,Leinster,€,119.0,
slane castle,meath,"Self Catering 5 Bedroom Apartment
€1200 per night","July 31, 2026",https://rorystravelclub.com/pages/slanecastle2026,https://rorystravelclub.com/cdn/shop/files/8cabe7c3-4705-4e4d-9457-47210d91e5fd_1.avif?v=1779439754&width=600,Leinster,€,1200.0,
aqua sana forest spa,longford,"Spa Access, 50-minute VOYA Illuminating Facial, Hot Drink & Pastry
€120 per person","December 31, 2026",https://rorystravelclub.com/pages/aquasanaforestspa,https://rorystravelclub.com/cdn/shop/files/Aqua-Sana-Longford-Outdoor-Pool-July-2019-IRE-03.webp?v=1777557294&width=600,Leinster,€,120.0,
springhill hotel,kilkenny,"Bed & Breakfast, Plus a Burger and your Choice of Beer or Wine
Solo: Midweek €139 | Weekend €169
2 Sharing: Midweek €159 | Weekend €189","July 31, 2026",https://rorystravelclub.com/pages/springhillhotel,https://rorystravelclub.com/cdn/shop/files/Onsite.jpg?v=1779439033&width=600,Leinster,€,139.0,
tulfarris hotel & golf resort,wicklow,"B&B, A House Cocktail or A Glass of Beer & 1 Activity Per Person
2 Sharing from €199","July 31, 2026",https://rorystravelclub.com/pages/tulfarrishotelandgolfxrtcmarch,https://rorystravelclub.com/cdn/shop/files/Tulfarris_Hotel_2.jpg?v=1716901069&width=600,Leinster,€,199.0,
woodenbridge hotel & lodge,wicklow,"Lodge River Balcony Room With B&B and Main Course
2 Sharing: Thursday & Sunday From €150","September 30, 2026",https://rorystravelclub.com/pages/woodenbridgehotellodge,https://rorystravelclub.com/cdn/shop/files/8d244f20-3e55-4f9c-b246-7eb75a770e45_1.avif?v=1779439358&width=600,Leinster,€,150.0,
